Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
1,Q1,1745449657.877682,258034,1,1
2,Q2,1745449658.160865,22956,1,1
3,Q3,1745449658.236389,49374,1,1
4,Q4,1745449658.367738,79218,1,1
5,Q5,1745449658.473603,26115,1,1
6,Q6,1745449658.530819,29355,1,1
7,Q7,1745449658.598352,38610,1,1
8,Q8,1745449658.675604,38019,1,1
9,Q9,1745449658.823280,110792,1,1
10,Q10,1745449658.989767,54935,1,1
11,Q11,1745449659.067149,22016,1,1
12,Q12,1745449659.148654,58321,1,1
13,Q13,1745449659.285932,85734,1,1
14,Q14,1745449659.388826,16347,1,1
15,Q15,1745449659.466923,48109,1,1
16,Q16,1745449659.559245,44705,1,1
17,Q17,1745449685.511338,24127668,1,1
18,Q18,1745449709.910390,264178,1,1
19,Q19,1745449710.212734,36997,1,1
20,Q20,1745449733.767047,21828140,1,1
21,Q21,1745449755.653589,56541,1,1
22,Q22,1745449755.753986,39085,1,1
