0, 315888.92860016524
1, 318253.74891555303
2, 318864.6460764032
3, 319064.29481849214
4, 317359.64473384613
5, 318225.05522662937
6, 319671.017610865
7, 320181.4311916824
8, 320747.8252807272
9, 320146.1298690114
10, 320302.4306697264
11, 320364.67554237094
12, 320213.58018964145
13, 320267.7021040087
14, 320685.85765653016
15, 321223.46256758115
16, 321016.6873435328
17, 321540.01936337515
18, 321064.7297931266
19, 321417.09383340215
20, 321293.5691581895
21, 321514.44319241133
22, 320545.37179505645
23, 320580.8776692203
24, 321125.3768595898
25, 320653.68855722
26, 321153.9080510456
27, 319943.92397543637
28, 320073.5479261262
29, 320862.7086774223
30, 321276.223371515
31, 320654.3500585221
32, 320253.4334942326
33, 321353.5819179193
34, 321751.2563467693
35, 321736.24717820017
36, 322752.9944827908
37, 322641.1041778442
38, 322697.04933031753
39, 322445.2961441877
40, 322666.38783933857
41, 322752.9944827908
42, 322750.3055680485
43, 322752.9944827908
44, 322752.9944827908
